,Customer_ID,last_purchase,frequency,monetary,avg_purchase,avg_rating,discount_rate,return_rate,online_share,instore_share,both_share,loyalty_avg,clv_latest,clv_mean,recency_days,loyalty_score_engineered,Customer_Segment_Recomputed
0,10001,2020-03-11,2,145.01455633505475,72.50727816752737,3.5,0.0,0.5,0.0,1.0,0.0,22.0,161.3779678823184,485.826527937436,13,21,New
1,10004,2020-01-16,1,183.2389385601252,183.2389385601252,2.0,0.0,0.0,1.0,0.0,0.0,48.0,0.9,0.9122222222222223,68,10,New
2,10005,2020-02-05,1,453.1684177354036,453.1684177354036,4.0,0.0,0.0,0.0,0.0,1.0,94.0,4522.924673598925,4522.924673598925,48,23,New
3,10009,2020-03-20,3,721.4871219425329,240.49570731417762,2.0,0.6666666666666666,0.0,1.0,0.0,0.0,20.0,1158.019572357317,3285.25246256539,4,63,Regular
4,10011,2020-03-18,1,89.68786519470136,89.68786519470136,2.0,0.0,0.0,1.0,0.0,0.0,90.0,965.2206861534579,965.2206861534579,6,5,New
5,10013,2020-03-11,1,159.9429915523822,159.9429915523822,5.0,0.0,0.0,0.0,0.0,1.0,5.0,1404.605456240575,1404.605456240575,13,9,New
6,10021,2020-03-09,1,193.8681549234882,193.8681549234882,4.0,0.0,1.0,0.0,1.0,0.0,13.0,2858.544767690968,2858.544767690968,15,10,New
7,10038,2020-03-03,1,323.3813749248825,323.3813749248825,3.0,0.0,0.0,1.0,0.0,0.0,22.0,3824.319236182622,3824.319236182622,21,17,New
8,10054,2020-02-15,1,304.107119420365,304.107119420365,1.0,1.0,0.0,0.0,1.0,0.0,93.0,1635.092188104462,1635.092188104462,38,16,New
9,10055,2020-02-03,1,267.3001750896996,267.3001750896996,5.0,0.0,0.0,1.0,0.0,0.0,21.0,2176.660509916289,2176.660509916289,50,14,New
10,10060,2020-02-21,1,62.99857259523926,62.99857259523926,4.0,1.0,0.0,1.0,0.0,0.0,37.0,661.726672070271,661.726672070271,32,4,New
11,10064,2020-01-04,1,281.2301338250198,281.2301338250198,1.0,0.0,1.0,1.0,0.0,0.0,65.0,2987.126736484649,2987.126736484649,80,15,New
12,10072,2020-03-23,1,423.7587500231122,423.7587500231122,4.0,0.0,0.0,0.0,0.0,1.0,80.0,3909.373103693427,3909.373103693427,1,22,New
13,10074,2020-02-18,1,182.0604083728379,182.0604083728379,2.0,1.0,0.0,1.0,0.0,0.0,87.0,1726.302405970604,1726.302405970604,35,10,New
14,10077,2020-02-08,1,35.65089573670519,35.65089573670519,5.0,0.0,0.0,0.0,1.0,0.0,66.0,388.8889761927563,388.8889761927563,45,3,New
15,10089,2020-03-07,1,90.47812293934568,90.47812293934568,1.0,0.0,0.0,1.0,0.0,0.0,90.0,1133.311206637042,1133.311206637042,17,5,New
16,10094,2020-02-11,1,379.93957924309,379.93957924309,2.0,0.0,0.0,0.0,1.0,0.0,3.0,4262.881299344659,4262.881299344659,42,20,New
17,10098,2020-01-11,1,350.0561331107451,350.0561331107451,3.0,0.0,0.0,0.0,0.0,1.0,45.0,3138.252814956524,3138.252814956524,73,18,New
18,10105,2020-03-19,2,627.105062124336,313.552531062168,3.5,0.0,0.0,0.0,0.0,1.0,60.0,4416.880392163337,2815.431023946455,5,45,Regular
19,10116,2020-03-06,1,223.1402969651421,223.1402969651421,5.0,1.0,0.0,0.0,1.0,0.0,9.0,1158.555848231314,1158.555848231314,18,12,New
20,10117,2020-02-06,1,162.4104354779221,162.4104354779221,3.0,0.0,1.0,1.0,0.0,0.0,73.0,2036.589333811817,2036.589333811817,47,9,New
21,10125,2020-03-14,2,517.148222828754,258.574111414377,4.0,0.0,0.0,0.0,0.5,0.5,61.5,4863.5779397058,2882.8349175482363,10,39,Regular
22,10126,2020-02-11,1,171.4756454267022,171.4756454267022,2.0,1.0,0.0,1.0,0.0,0.0,71.0,996.1590558835421,996.1590558835421,42,9,New
